date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:38:10	4248/4248	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Jan%202025%2018:38:09%20GMT	https://pa-banjarmasin.pages.dev/robots.txt		(from )
01:38:10	17394/17394	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Jan%202025%2018:38:09%20GMT	https://pa-banjarmasin.pages.dev/	D:/PELERNAGA/Project%201/pa-banjarmasin.pages.dev/index.html	(from )
01:38:11	284584/284584	---M--	200	added ('OK')	text/javascript	etag:%226cd5bd85d22351ce%22	https://cdn.ampproject.org/v0.js	D:/PELERNAGA/Project%201/cdn.ampproject.org/v0.js	(from https://pa-banjarmasin.pages.dev/)
01:38:11	25732/25732	---M--	200	added ('OK')	text/javascript	etag:%2277dcc70a0a78da30%22	https://cdn.ampproject.org/v0/amp-iframe-0.1.js	D:/PELERNAGA/Project%201/cdn.ampproject.org/v0/amp-iframe-0.1.js	(from https://pa-banjarmasin.pages.dev/)
01:38:11	127094/127094	---M--	200	added ('OK')	image/gif	etag:%221f076-6271790c0d3d0%22	https://imgstore.io/images/2024/11/17/olxtoto-background.gif	D:/PELERNAGA/Project%201/imgstore.io/images/2024/11/17/olxtoto-background.gif	(from https://pa-banjarmasin.pages.dev/)
01:38:13	14149/14149	---M--	200	added ('OK')	image/png	etag:%22ecb4f0f0606807811e97f48b8be13903%22	https://imgsaya.io/download/b7xLqRHm.png	D:/PELERNAGA/Project%201/imgsaya.io/download/b7xLqRHm.png	(from https://pa-banjarmasin.pages.dev/)
01:38:13	10456/10456	---M--	200	added ('OK')	image/png	etag:%227d949188a8a1b086b5911dc045eba40f%22	https://imgsaya.io/download/oZiKl4eN.png	D:/PELERNAGA/Project%201/imgsaya.io/download/oZiKl4eN.png	(from https://pa-banjarmasin.pages.dev/)
01:38:13	11622/11622	---M--	200	added ('OK')	image/png	etag:%22d282dd2afa2b4cb4b868eb6c7b03b7a9%22	https://imgsaya.io/download/ZHjG06fN.png	D:/PELERNAGA/Project%201/imgsaya.io/download/ZHjG06fN.png	(from https://pa-banjarmasin.pages.dev/)
01:38:13	12891/12891	---M--	200	added ('OK')	image/png	etag:%22975067a9c50250adc97a7108914984f6%22	https://imgsaya.io/download/Rv9PWSHi.png	D:/PELERNAGA/Project%201/imgsaya.io/download/Rv9PWSHi.png	(from https://pa-banjarmasin.pages.dev/)
01:38:14	332140/332140	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Dec%202024%2009:40:07%20GMT	https://i.ibb.co.com/L91fQqt/pk.png	D:/PELERNAGA/Project%201/i.ibb.co.com/L91fQqt/pk.png	(from https://pa-banjarmasin.pages.dev/)
